name,Shape_Length,Shape_Area,gb,Urban,Urban_Ratio
蚌埠市,18.001028932049472,0.07278292812562619,156340300,Urban,12.66
包头市,19.86297156052383,2.8962124479343343,156150200,Rural,97.33
包头市,8.388561809683985,0.07954395763289591,156150200,Urban,2.67
宝鸡市,14.569884971840278,1.746266055401701,156610300,Rural,98.48
宝鸡市,6.263390465397345,0.027015809166335687,156610300,Urban,1.52
保定市,96.67776427222395,2.0331633051211284,156130600,Rural,88.1
保定市,87.27484965286341,0.27465000254729405,156130600,Urban,11.9
保山市,11.134672252939687,1.6912781281071836,156530500,Rural,99.27
保山市,2.2745343080003977,0.012383395777323936,156530500,Urban,0.73
保亭黎族苗族自治县,2.064982079421871,0.09799454056593689,156469029,Rural,99.44
保亭黎族苗族自治县,0.19241913200005456,0.0005540012870627921,156469029,Urban,0.56
北海市,7.170622540175836,0.28436205352951044,156450500,Rural,95.7
北海市,2.957699052796607,0.012772753586692932,156450500,Urban,4.3
北京市,50.14004644995797,1.224137413130778,156110000,Rural,70.49
北京市,42.4190141356867,0.5124483474747583,156110000,Urban,29.51
北屯市,3.025474282870251,0.10492931387305195,156659005,Rural,97.14
北屯市,0.8915325476753229,0.003090604414716728,156659005,Urban,2.86
本溪市,12.43390802970541,0.8835133373561501,156210500,Rural,97.94
本溪市,4.859917186732274,0.01857650432000376,156210500,Urban,2.06
毕节市,15.277221022899317,2.435559545054392,156520500,Rural,99.65
毕节市,3.5152873539997245,0.008508945519968085,156520500,Urban,0.35
滨州市,31.383230312374724,0.8323976435284604,156371600,Rural,90.29
滨州市,23.6595945986913,0.08956267166450982,156371600,Urban,9.71
亳州市,16.518983219437906,0.7862525754248553,156341600,Rural,95.1
亳州市,11.008291310758075,0.04050254895614957,156341600,Urban,4.9
博尔塔拉蒙古自治州,14.846414835581456,2.736832267489088,156652700,Rural,99.73
博尔塔拉蒙古自治州,1.124880515448957,0.0074269848200294855,156652700,Urban,0.27
沧州市,99.12483408234115,1.1533831153593375,156130900,Rural,79.0
沧州市,91.18966729976155,0.3066022304473384,156130900,Urban,21.0
昌都市,28.924406743074005,10.35089883772567,156540300,Rural,100.0
昌吉回族自治州,30.778989801585404,8.242043697220604,156652300,Rural,99.3
昌吉回族自治州,10.35368773050429,0.05819130091253341,156652300,Urban,0.7
昌江黎族自治县,3.0178868410292194,0.13508767728156448,156469026,Rural,98.65
昌江黎族自治县,0.7163166060000776,0.0018480750699306717,156469026,Urban,1.35
常德市,15.76957698708757,1.6609929239751704,156430700,Rural,98.27
常德市,6.692089509999732,0.029263222281440578,156430700,Urban,1.73
常州市,19.684979622344954,0.2895577650805316,156320400,Rural,69.72
常州市,16.136620660890873,0.12578262646794378,156320400,Urban,30.28
朝阳市,16.40792659219978,2.102486047677794,156211300,Rural,98.85
朝阳市,5.509044363458619,0.02449765678057421,156211300,Urban,1.15
潮州市,7.252156225053423,0.23381806718392972,156445100,Rural,85.34
潮州市,4.193694256680621,0.04015426404236659,156445100,Urban,14.66
郴州市,16.39052176859151,1.7251006943758758,156431000,Rural,98.75
郴州市,5.466351905933854,0.021772088190433338,156431000,Urban,1.25
成都市,27.32487460923447,1.180024840698707,156510100,Rural,87.48
成都市,19.6999742614411,0.16895008566123546,156510100,Urban,12.52
承德市,23.39195635745265,4.220202552435163,156130800,Rural,99.4
承德市,9.078733613999475,0.02538521331484802,156130800,Urban,0.6
澄迈县,4.048647650448078,0.17201386521503187,156469023,Rural,96.8
澄迈县,1.4286854026238895,0.005692570675034987,156469023,Urban,3.2
池州市,9.370348022692353,0.773759006691206,156341700,Rural,98.58
池州市,3.4193472899993367,0.011151273097307905,156341700,Urban,1.42
赤峰市,29.44691928613432,9.593168400452118,156150400,Rural,99.57
赤峰市,7.302513531460326,0.04103261146549372,156150400,Urban,0.43
崇左市,10.891339760506277,1.513873526363711,156451400,Rural,99.51
