NAME_1,NAME_2,GID_1,GID_2,Gini_Coefficient
Shandong,Linyi,370000,371300,0.9225914915420844
Shandong,Qingdao,370000,370200,0.7128940914476442
Shandong,Rizhao,370000,371100,0.8838402892901426
Shandong,Taian,370000,370900,0.9116660204864414
Shandong,Weifang,370000,370700,0.9098554215177302
Shandong,Weihai,370000,371000,0.9014525377060086
Shandong,Yantai,370000,370600,0.9158536075593076
Shandong,Zaozhuang,370000,370400,0.9446614887527893
Shandong,Zibo,370000,370300,0.880479950009485
Shanxi,Ankang,610000,610900,0.978965468521945
Shanxi,Baoji,610000,610300,0.8987616375125784
Shanxi,Hanzhong,610000,610700,0.9146687537854823
Shanxi,Shangluo,610000,611000,0.9751790064728924
Shanxi,Tongchuan,610000,610200,0.9521930681413905
Shanxi,Weinan,610000,610500,0.9597030836117486
Shanxi,Xian,610000,610100,0.6145489047328725
Shanxi,Xianyang,610000,610400,0.9401319601492931
Shanxi,Yanan,610000,610600,0.9685150875957288
Shanxi,Yulin,610000,610800,0.9767702875566081
Jilin,Baicheng,220000,220800,0.9877761796181984
Jilin,Baishan,220000,220600,0.9864115914998163
Jilin,Changchun,220000,220100,0.9176853207316978
Jilin,Jilin,220000,220200,0.972174756918124
Jilin,Liaoyuan,220000,220400,0.9779116952956655
Jilin,Siping,220000,220300,0.987155985263798
Jilin,Songyuan,220000,220700,0.9936725465652924
Jilin,Tonghua,220000,220500,0.9354067780976807
Jilin,Yanbianchaoxianzu,220000,222400,0.9341993589281508
Fujian,Fuzhou,350000,350100,0.688271156616284
Fujian,Longyan,350000,350800,0.8955753886520277
Fujian,Nanping,350000,350700,0.9169257201241238
Fujian,Ningde,350000,350900,0.940106984746643
Fujian,Putian,350000,350300,0.9167289130480916
Fujian,Quanzhou,350000,350500,0.7909462561504819
Fujian,Sanming,350000,350400,0.9300960329187731
Fujian,Xiamen,350000,350200,0.5707915590171609
Fujian,Zhangzhou,350000,350600,0.8696709296106298
Henan,Anyang,410000,410500,0.9295750307356385
Henan,Hebi,410000,410600,0.9359040771529988
Henan,Jiaozuo,410000,410800,0.9309042026415845
Henan,Kaifeng,410000,410200,0.9429452609342445
Henan,Luohe,410000,411100,0.965757041945552
Henan,Luoyang,410000,410300,0.884884788898866
Henan,NULL,410000,0,0.9403567713468881
Henan,Nanyang,410000,411300,0.9645135004504056
Henan,Pingdingshan,410000,410400,0.9577249796108998
Henan,Puyang,410000,410900,0.9142434598794453
Henan,Sanmenxia,410000,411200,0.899225167512293
Henan,Shangqiu,410000,411400,0.98359801921878
Henan,Xinxiang,410000,410700,0.9416512979132949
Henan,Xinyang,410000,411500,0.9633807828372603
Henan,Xuchang,410000,411000,0.9458234091181309
Henan,Zhengzhou,410000,410100,0.7130255259760818
Henan,Zhoukou,410000,411600,0.9872799097685593
Henan,Zhumadian,410000,411700,0.9774655162311842
Shanxi,Changzhi,140000,140400,0.9443824099229864
Shanxi,Datong,140000,140200,0.9665617191257786
Shanxi,Jincheng,140000,140500,0.9025516742382272
Shanxi,Jinzhong,140000,140700,0.9268575767890975
Shanxi,Linfen,140000,141000,0.9230514686405624
Shanxi,Lüliang,140000,141100,0.9253827529571252
Shanxi,Shuozhou,140000,140600,0.9767961128688728
Shanxi,Taiyuan,140000,140100,0.6792074567492787
Shanxi,Xinzhou,140000,140900,0.9585862569891699
Shanxi,Yangquan,140000,140300,0.8977234547686594
Shanxi,Yuncheng,140000,140800,0.9561749616323465
Guangxi,Baise,450000,451000,0.9669833553763938
Guangxi,Beihai,450000,450500,0.9087603031174656
Guangxi,Chongzuo,450000,451400,0.9768262968024395
Guangxi,Fangchenggang,450000,450600,0.9333684804335312
Guangxi,Guigang,450000,450800,0.9626399530067097
Guangxi,Guilin,450000,450300,0.8818895285091559
Guangxi,Hechi,450000,451200,0.9557505707721646
Guangxi,Hezhou,450000,451100,0.9424922742113636
Guangxi,Laibin,450000,451300,0.9666305994347184
Guangxi,Liuzhou,450000,450200,0.8111036805567209
Guangxi,Nanning,450000,450100,0.8426624780035012
Guangxi,Qinzhou,450000,450700,0.9654894729520077
Guangxi,Wuzhou,450000,450400,0.8704407205377773
Guangxi,Yulin,450000,450900,0.9422109336251531
