name,gb,pname,officalProvinceNum2025,provinceNum2025,cityNum2025,dividRatio,officalCityNumDivid
上海市,156310000,上海市,12979,8116,8116,1.000000000000000,12979
鸡西市,156230300,黑龙江省,1662,1844,65,0.035249457700651,59
宁德市,156350900,福建省,8162,7767,431,0.055491180636024,453
保定市,156130600,河北省,11267,11652,1468,0.125986955029180,1419
菏泽市,156371700,山东省,18515,20260,1234,0.060908193484699,1128
崇左市,156451400,广西壮族自治区,8814,10222,509,0.049794560751321,439
黑河市,156231100,黑龙江省,1662,1844,101,0.054772234273319,91
扬州市,156321000,江苏省,25553,21829,1035,0.047413990563013,1212
驻马店市,156411700,河南省,12525,15874,921,0.058019402797027,727
哈密市,156650500,新疆维吾尔自治区,4735,5519,270,0.048921906142417,232
株洲市,156430200,湖南省,5854,7605,444,0.058382642998028,342
锦州市,156210700,辽宁省,3194,3917,185,0.047230022976768,151
肇庆市,156441200,广东省,38770,32965,996,0.030213863188230,1171
恩施土家族苗族自治州,156422800,湖北省,8311,11670,518,0.044387317909169,369
宜昌市,156420500,湖北省,8311,11670,1228,0.105227077977721,875
怒江傈僳族自治州,156533300,云南省,5815,6937,64,0.009225890154245,54
柳州市,156450200,广西壮族自治区,8814,10222,1170,0.114459009978478,1009
平凉市,156620800,甘肃省,1894,2440,138,0.056557377049180,107
眉山市,156511400,四川省,12365,11998,457,0.038089681613602,471
青岛市,156370200,山东省,18515,20260,2393,0.118114511352419,2187
新乡市,156410700,河南省,12525,15874,1004,0.063248078619126,792
乌海市,156150300,内蒙古自治区,4816,5318,80,0.015043249341858,72
黔西南布依族苗族自治州,156522300,贵州省,5066,5379,377,0.070087376835843,355
晋城市,156140500,山西省,5731,5767,761,0.131957690306919,756
广州市,156440100,广东省,38770,32965,4818,0.146155012892462,5666
吉林市,156220200,吉林省,1416,1927,221,0.114686040477426,162
九江市,156360400,江西省,6116,8183,1075,0.131369913234755,803
漳州市,156350600,福建省,8162,7767,1092,0.140594824256470,1148
来宾市,156451300,广西壮族自治区,8814,10222,494,0.048327137546468,426
张家口市,156130700,河北省,11267,11652,535,0.045914864400961,517
德州市,156371400,山东省,18515,20260,848,0.041855873642646,775
胡杨河市,156659010,新疆维吾尔自治区,4735,5519,6,0.001087153469831,5
固原市,156640400,宁夏回族自治区,1409,2035,341,0.167567567567568,236
抚顺市,156210400,辽宁省,3194,3917,119,0.030380393158029,97
安庆市,156340800,安徽省,9743,20493,696,0.033962816571512,331
白杨市,156659012,新疆维吾尔自治区,4735,5519,0,0.000000000000000,0
新星市,156659011,新疆维吾尔自治区,4735,5519,22,0.003986229389382,19
